name,latitude,longitude
Place des Fêtes,48.87684,2.39296
Pré-Saint-Gervais,48.88025,2.39891
Balard,48.83597,2.278212
Bonne Nouvelle,48.870639,2.348875
Boucicaut,48.840578,2.286621
Charenton-Écoles,48.82149,2.41386
Chemin Vert,48.856778,2.368348
Commerce,48.845093,2.294215
Créteil-L'Échat,48.795963,2.449356
Créteil-Préfecture,48.779772,2.459317
Créteil-Université,48.789754,2.450785
École Militaire,48.85511,2.306737
École Vétérinaire de Maisons-Alfort,48.81519,2.421882
Faidherbe-Chaligny,48.850158,2.383398
Félix Faure,48.842351,2.291004
Filles du Calvaire,48.864167,2.366111
Grands Boulevards,48.871426,2.344342
Invalides,48.86299,2.31333
La Tour-Maubourg,48.857667,2.310399
Ledru-Rollin,48.851529,2.37516
Liberté,48.825882,2.407022
Lourmel,48.838604,2.281817
Madeleine,48.86977,2.3244
Maisons-Alfort-Les Juilliottes,48.802567,2.446432
Maisons-Alfort-Stade,48.808681,2.436073
Michel Bizot,48.837485,2.401234
Montgallet,48.844276,2.389974
Pointe du Lac,48.76889,2.46472
Porte de Charenton,48.83278,2.4004
Porte Dorée,48.835481,2.4061
Richelieu-Drouot,48.871987,2.338741
Saint-Sébastien-Froissart,48.86048,2.367358
Alma-Marceau,48.864904,2.300234
Billancourt,48.83209,2.238177
Buzenval,48.851976,2.402045
Charonne,48.855103,2.384639
Croix de Chavaux,48.858055,2.435764
Exelmans,48.842405,2.259549
Iéna,48.864466,2.29338
Jasmin,48.851898,2.267856
La Muette,48.857718,2.273719
Mairie de Montreuil,48.862283,2.441847
Maraîchers,48.852851,2.40699
Marcel Sembat,48.83367,2.243579
Michel-Ange-Auteuil,48.8475,2.263611
Michel-Ange-Molitor,48.84496,2.261194
Miromesnil,48.87367,2.31446
Pont de Sèvres,48.829747,2.231035
Porte de Montreuil,48.853792,2.412245
Porte de Saint-Cloud,48.838082,2.256956
Ranelagh,48.85502,2.269634
Robespierre,48.855683,2.423678
Rue de la Pompe,48.863912,2.279052
Rue des Boulets,48.851811,2.390151
Saint-Ambroise,48.861295,2.374211
Saint-Augustin,48.874441,2.322133
Saint-Philippe du Roule,48.871941,2.310036
Voltaire,48.857803,2.380106
Avenue Émile Zola,48.846977,2.294512
Boulogne-Jean Jaurès,48.842278,2.238877
Boulogne-Pont de Saint-Cloud,48.840684,2.228331
Cardinal Lemoine,48.847139,2.351203
Chardon Lagache,48.845138,2.266214
Charles Michels,48.846591,2.286942
Cluny-La Sorbonne,48.851019,2.344583
Duroc,48.846829,2.316479
Église d'Auteuil,48.847169,2.26902
Javel-André Citroën,48.846165,2.278716
Mabillon,48.852775,2.335322
Maubert-Mutualité,48.850193,2.347936
Mirabeau,48.8469,2.2721
Porte d'Auteuil,48.848025,2.25875
Ségur,48.847434,2.306853
Sèvres-Babylone,48.85151,2.326655
Vaneau,48.848947,2.321557
Goncourt,48.869831,2.370687
Jourdain,48.8752,2.389508
Mairie des Lilas,48.879788,2.416289
Pyrénées,48.873875,2.385259
Rambuteau,48.86119,2.35343
Télégraphe,48.875463,2.398434
Abbesses,48.884849,2.338688
Aimé Césaire,48.908317,2.37802
Assemblée Nationale,48.860655,2.32113
Convention,48.837419,2.296795
Corentin Celton,48.826833,2.278985
Falguière,48.844566,2.318287
Front Populaire,48.9068,2.366
Jules Joffrin,48.892437,2.344782
Lamarck-Caulaincourt,48.889139,2.338159
Mairie d'Aubervilliers,48.913829,2.380651
Mairie d'Issy,48.824152,2.273434
